"","PLOT","REP","INSTN","NTP","LB1","LB2","LB3","LB4","LB5","LB6","LB7","LB8","AUDPC","rAUDPC","SAUDPC"
"775","775","3","CIP374080.5",10,0,2,10,10,30,50,55,70,1347,0.259038461538462,7.9
"776","776","3","CIP394600.52",10,0,2,50,60,80,100,100,100,3097,0.595576923076923,18.1
"777","777","3","CIP388676.1",10,0,15,80,85,100,100,100,100,3732.5,0.717788461538462,21.8
"778","778","3","CIP396240.23",10,0,1,2,2,5,30,35,60,736.5,0.141634615384615,4.3
"779","779","3","CIP391583.25",10,0,0,1,1,10,40,45,60,889,0.170961538461538,5.2
"780","780","3","CIP396268.1",10,0,15,50,55,65,70,75,95,2665,0.5125,15.6
"781","781","3","CIP301041.26",10,0,1,20,30,65,80,90,100,2353.5,0.452596153846154,13.8
"782","782","3","CIP388972.22",10,0,30,80,85,95,100,100,100,3825,0.735576923076923,22.4
"783","783","3","CIP398208.670",10,0,0,2,5,30,60,70,95,1501.5,0.28875,8.8
"784","784","3","CIP396009.240",6,0,0,1,1,10,30,40,70,819,0.1575,4.8
"785","785","3","CIP393083.2",10,0,0,2,2,5,20,20,50,518,0.0996153846153846,3
"786","786","3","CIP393385.47",8,0,2,20,30,40,70,70,80,1907,0.366730769230769,11.2
"787","787","3","CIP398192.213",10,0,5,10,15,40,60,65,95,1705,0.327884615384615,10
"788","788","3","CIP391585.5",10,0,2,3,5,5,20,35,80,773,0.148653846153846,4.5
"789","789","3","CIP398180.144",9,0,0,2,2,20,50,60,90,1253,0.240961538461538,7.3
"790","790","3","CIP392634.52",10,0,0,3,2,10,30,30,70,770,0.148076923076923,4.5
"791","791","3","CIP395169.17",10,0,0,5,5,10,30,30,70,805,0.154807692307692,4.7
"792","792","3","CIP391011.17",10,0,5,10,10,30,50,55,60,1337.5,0.257211538461538,7.8
"793","793","3","CIP391382.18",10,0,20,70,75,90,95,95,100,3495,0.672115384615385,20.4
"794","794","3","CIP392633.64",10,0,70,95,97,100,100,100,100,4389,0.844038461538462,25.7
"795","795","3","CIP388615.22",10,0,50,95,96,100,100,100,100,4212,0.81,24.6
"796","796","3","CIP392781.1",10,0,0,2,2,20,40,60,80,1148,0.220769230769231,6.7
"797","797","3","CIP304350.95",10,2,100,100,100,100,100,100,100,4710,0.905769230769231,27.6
"798","798","3","CIP300046.22",10,0,0,10,10,40,60,70,90,1645,0.316346153846154,9.6
"799","799","3","CIP800048",9,0,25,30,30,20,30,40,30,1367.5,0.262980769230769,8
"800","800","3","CIP396244.12",10,0,2,10,10,30,60,70,90,1592,0.306153846153846,9.3
"801","801","3","CIP395112.19",9,0,1,5,5,30,40,40,65,1076,0.206923076923077,6.3
"802","802","3","CIP399067.14",10,0,0,2,3,10,30,30,50,700,0.134615384615385,4.1
"803","803","3","CIP399053.15",9,0,10,40,50,60,70,75,80,2430,0.467307692307692,14.2
"804","804","3","CIP398190.605",3,0,5,10,10,10,40,45,80,1127.5,0.216826923076923,6.6
"805","805","3","CIP396046.105",10,2,20,30,30,30,30,30,40,1370,0.263461538461538,8
"806","806","3","CIP393085.5",10,0,0,2,2,10,30,35,50,728,0.14,4.3
"807","807","3","CIP397035.26",10,0,30,80,80,90,95,98,100,3706,0.712692307692308,21.7
"808","808","3","CIP300063.9",10,3,55,70,70,70,85,90,100,3527.5,0.678365384615385,20.6
"809","809","3","CIP392657.171",10,0,0,1,1,2,20,20,40,448,0.0861538461538462,2.6
"810","810","3","CIP395109.34",10,0,15,20,35,50,50,55,90,1912.5,0.367788461538462,11.2
"811","811","3","CIP397065.2",10,0,30,60,65,80,90,95,100,3335,0.641346153846154,19.5
"812","812","3","CIP304371.58",10,0,30,60,65,85,90,95,100,3370,0.648076923076923,19.7
"813","813","3","CIP398190.200",10,0,0,2,2,10,20,25,40,553,0.106346153846154,3.2
"814","814","3","CIP396012.266",9,0,0,2,2,10,30,35,50,728,0.14,4.3
"815","815","3","CIP399079.22",10,0,5,10,10,30,40,45,60,1197.5,0.230288461538462,7
"816","816","3","CIP398208.219",10,0,5,30,35,50,65,75,100,2177.5,0.41875,12.7
"817","817","3","CIP395111.13",10,0,0,2,2,2,10,10,10,217,0.0417307692307692,1.3
"818","818","3","CIP394895.7",10,0,1,5,5,40,60,70,90,1583.5,0.304519230769231,9.3
"819","819","3","CIP399049.16",10,0,10,15,15,30,20,20,30,890,0.171153846153846,5.2
"820","820","3","CIP395017.242",10,0,0,1,1,20,30,35,50,784,0.150769230769231,4.6
"821","821","3","CIP304387.17",10,0,85,100,100,100,100,100,100,4572.5,0.879326923076923,26.7
"822","822","3","CIP397073.15",10,0,70,95,95,98,100,100,100,4361,0.838653846153846,25.5
"823","823","3","CIP397079.26",10,0,15,30,30,50,70,80,100,2297.5,0.441826923076923,13.4
"824","824","3","CIP398208.58",10,1,15,50,55,70,80,85,95,2845,0.547115384615385,16.6
"825","825","3","CIP393220.54",10,0,60,80,85,95,100,100,100,4080,0.784615384615385,23.9
"826","826","3","CIP300099.22",10,0,0,2,2,30,50,55,95,1305.5,0.251057692307692,7.6
"827","827","3","CIP395017.14",10,0,0,5,5,10,30,40,60,840,0.161538461538462,4.9
"828","828","3","CIP391533.1",10,0,1,30,35,70,90,95,100,2598.5,0.499711538461538,15.2
"829","829","3","CIP396269.16",10,0,0,10,10,30,50,60,80,1400,0.269230769230769,8.2
"830","830","3","CIP396004.225",10,0,5,30,30,40,60,70,90,1967.5,0.378365384615385,11.5
"831","831","3","CIP395195.7",10,0,10,20,30,50,65,75,95,2097.5,0.403365384615385,12.3
"832","832","3","CIP396031.108",8,0,5,20,15,20,40,45,60,1232.5,0.237019230769231,7.2
"833","833","3","CIP396033.102",8,0,5,20,15,20,40,60,80,1407.5,0.270673076923077,8.2
"834","834","3","CIP399078.11",10,0,0,2,2,20,30,35,60,833,0.160192307692308,4.9
"835","835","3","CIP393073.179",10,0,10,5,5,10,30,35,40,820,0.157692307692308,4.8
"836","836","3","CIP394899.5",10,0,0,2,2,10,40,50,80,1008,0.193846153846154,5.9
"837","837","3","CIP393613.2",10,0,80,90,85,90,95,98,100,4236,0.814615384615385,24.8
"838","838","3","CIP393371.58",10,0,0,0,0,2,10,15,40,329,0.0632692307692308,1.9
"839","839","3","CIP304350.78",10,0,0,1,0,2,20,20,50,476,0.0915384615384615,2.8
"840","840","3","CIP300063.4",10,0,45,60,60,60,75,85,100,3112.5,0.598557692307692,18.2
"841","841","3","CIP399073.23",10,0,0,2,3,5,20,20,30,455,0.0875,2.7
"842","842","3","Cooperation88",10,0,10,20,20,40,60,70,80,1835,0.352884615384615,10.7
"843","843","3","CIP300093.14",10,5,90,100,100,100,100,100,100,4640,0.892307692307692,27.1
"844","844","3","CIP398192.41",10,0,40,50,60,70,80,90,100,3140,0.603846153846154,18.4
"845","845","3","CIP395017.227",10,0,20,50,60,70,80,85,100,2935,0.564423076923077,17.2
"846","846","3","CIP393248.55",10,0,0,3,3,30,40,55,90,1232,0.236923076923077,7.2
"847","847","3","CIP393382.44",10,0,5,30,30,40,60,70,80,1932.5,0.371634615384615,11.3
"848","848","3","CIP300056.33",10,0,5,40,50,80,90,93,95,2846,0.547307692307692,16.6
"849","849","3","CIP391207.2",10,0,20,90,95,100,100,100,100,3915,0.752884615384615,22.9
"850","850","3","CIP389468.3",10,0,10,50,55,80,90,95,100,3025,0.581730769230769,17.7
"851","851","3","CIP304387.92",10,0,60,100,100,100,100,100,100,4360,0.838461538461538,25.5
"852","852","3","CIP390478.9",10,0,60,95,97,100,100,100,100,4304,0.827692307692308,25.2
"853","853","3","CIP398190.615",10,0,0,5,5,20,40,50,70,1085,0.208653846153846,6.3
"854","854","3","CIP392637.10",10,0,0,2,2,10,20,25,40,553,0.106346153846154,3.2
"855","855","3","CIP393280.82",10,0,0,0,0,5,20,25,40,490,0.0942307692307692,2.9
"856","856","3","CIP300065.4",10,0,20,50,65,75,90,95,100,3145,0.604807692307692,18.4
"857","857","3","CIP387164.4",10,0,0,0,1,10,20,30,50,602,0.115769230769231,3.5
"858","858","3","CIP393280.64",10,0,5,10,15,15,30,35,50,952.5,0.183173076923077,5.6
"859","859","3","CIP379706.27",10,0,60,80,85,95,95,100,100,4045,0.777884615384615,23.7
